ID;Departman;Ad;Soyad;Ünvan;ParentID
407;Pazarlama;Selin;Bozkurt;Çalışan;400
216;BT;Faruk;Karakaş;Çalışan;200
112;Finans;Halil;Uçar;Çalışan;100
411;Pazarlama;Gözde;Arslan;Çalışan;400
206;BT;Ahmet;Yiğit;Çalışan;200
204;BT;Erkan;Gül;Çalışan;200
102;Finans;Onur;Çelik;Çalışan;100
408;Pazarlama;Mahmut;Güçlü;Çalışan;400
306;Satış;Caner;Aydın;Çalışan;300
103;Finans;Melis;Yıldız;Çalışan;100
502;İK;Ömer;Gür;Çalışan;500
400;Pazarlama;Gülşah;Doğan;Yönetici;99
200;BT;Mert;Can;Yönetici;99
207;BT;Pınar;Öztürk;Çalışan;200
203;BT;Derya;Sevim;Çalışan;200
504;İK;Serkan;Uzun;Çalışan;500
505;İK;Kübra;Acar;Çalışan;500
214;BT;;;Yönetici;99
208;BT;Uğur;Yılmaz;Çalışan;200
500;İK;Yasin;Erdem;Yönetici;99
302;Satış;Hakan;Güler;Çalışan;300
114;Finans;;;Yönetici;99
304;Satış;Volkan;Ateş;Çalışan;300
305;Satış;Simge;Çetin;Çalışan;300
99;Genel;Murtaza;Cicioğlu;Genel Yönetici;
401;Pazarlama;Hande;Tunalı;Çalışan;400
308;Satış;Kadir;Deniz;Çalışan;300
403;Pazarlama;Sibel;Pektaş;Çalışan;400
309;Satış;Arzu;Sönmez;Çalışan;300
205;BT;Nazlı;Aksoy;Çalışan;200
300;Satış;Ece;Bilgin;Yönetici;99
209;BT;Funda;Duman;Çalışan;200
105;Finans;Elif;Aslan;Çalışan;100
110;Finans;Burak;Koca;Çalışan;100
104;Finans;Kerem;Şahin;Çalışan;100
507;İK;Pelin;Yavuz;Çalışan;500
303;Satış;Sevilay;Kar;Çalışan;300
100;Finans;Veli;Kurt;Yönetici;99
213;BT;Ayşe;Demir;Çalışan;200
307;Satış;Neslihan;Kara;Çalışan;300
406;Pazarlama;Levent;Sarı;Çalışan;400
509;İK;Yavuz;Korkmaz;Çalışan;500
405;Pazarlama;Dilek;Koca;Çalışan;400
404;Pazarlama;Engin;Kılıç;Çalışan;400
106;Finans;Cemre;Ersoy;Çalışan;100
202;BT;Yunus;Karaca;Çalışan;200
508;İK;Bahar;Alkan;Çalışan;500
115;Finans;Berkan;Kocaman;Çalışan;100
301;Satış;Alper;Özcan;Çalışan;300
506;İK;Emirhan;Duru;Çalışan;500
503;İK;Aslı;Yılmaz;Çalışan;500
501;İK;Neşe;Demirtaş;Çalışan;500
410;Pazarlama;Zeynep;Güner;Çalışan;400
409;Pazarlama;Fatma;Sancak;Çalışan;400
412;Pazarlama;Tamer;Akın;Çalışan;400
