ID;Departman;Ad;Soyad;Ünvan
99;Genel;Murtaza;Cicioğlu;Genel Yönetici
100;Finans;Veli;Kurt;Yönetici
101;Finans;Ayşe;Demir;Çalışan
102;Finans;Onur;Çelik;Çalışan
103;Finans;Melis;Yıldız;Çalışan
104;Finans;Kerem;Şahin;Çalışan
105;Finans;Elif;Aslan;Çalışan
106;Finans;Cemre;Ersoy;Çalışan
110;Finans;Burak;Koca;Çalışan
111;Finans;Zeynep;Güner;Çalışan
112;Finans;Halil;Uçar;Çalışan
200;BT;Mert;Can;Yönetici
201;BT;Gözde;Arslan;Çalışan
202;BT;Yunus;Karaca;Çalışan
203;BT;Derya;Sevim;Çalışan
204;BT;Erkan;Gül;Çalışan
205;BT;Nazlı;Aksoy;Çalışan
206;BT;Ahmet;Yiğit;Çalışan
207;BT;Pınar;Öztürk;Çalışan
208;BT;Uğur;Yılmaz;Çalışan
209;BT;Funda;Duman;Çalışan
300;Satış;Ece;Bilgin;Yönetici
301;Satış;Alper;Özcan;Çalışan
302;Satış;Hakan;Güler;Çalışan
303;Satış;Sevilay;Kar;Çalışan
304;Satış;Volkan;Ateş;Çalışan
305;Satış;Simge;Çetin;Çalışan
306;Satış;Caner;Aydın;Çalışan
307;Satış;Neslihan;Kara;Çalışan
308;Satış;Kadir;Deniz;Çalışan
309;Satış;Arzu;Sönmez;Çalışan
400;Pazarlama;Gülşah;Doğan;Yönetici
401;Pazarlama;Hande;Tunalı;Çalışan
402;Pazarlama;Tamer;Akın;Çalışan
403;Pazarlama;Sibel;Pektaş;Çalışan
404;Pazarlama;Engin;Kılıç;Çalışan
405;Pazarlama;Dilek;Koca;Çalışan
406;Pazarlama;Levent;Sarı;Çalışan
407;Pazarlama;Selin;Bozkurt;Çalışan
408;Pazarlama;Mahmut;Güçlü;Çalışan
409;Pazarlama;Fatma;Sancak;Çalışan
500;İK;Yasin;Erdem;Yönetici
501;İK;Neşe;Demirtaş;Çalışan
502;İK;Ömer;Gür;Çalışan
503;İK;Aslı;Yılmaz;Çalışan
504;İK;Serkan;Uzun;Çalışan
505;İK;Kübra;Acar;Çalışan
506;İK;Emirhan;Duru;Çalışan
507;İK;Pelin;Yavuz;Çalışan
508;İK;Bahar;Alkan;Çalışan
509;İK;Yavuz;Korkmaz;Çalışan
